i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None
1	[3.3, 0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
2	[3.2602661338409877, 0.0039866844317516525, 0.0020500000937317964, 2.7415926535897928]	[3.3, 0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Right	0.02
3	[3.3023570597779774, 0.2576170334709919, 0.0020500000937317964, 2.5415926535897926]	[3.2602661338409877, 0.0039866844317516525, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
4	[3.050430756268499, 0.06648059633759215, 0.0020500000937317964, 2.5415926535897926]	[3.3023570597779774, 0.2576170334709919, 0.0020500000937317964, 2.5415926535897926]	Right	0.02
5	[2.97353205951828, 0.36141548820038605, 0.0020500000937317964, 2.7415926535897928]	[3.050430756268499, 0.06648059633759215, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
6	[2.7298574121360306, 0.24729859101536622, 0.0020500000937317964, 2.7415926535897928]	[2.97353205951828, 0.36141548820038605, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
7	[2.735105898312905, 0.5165056737469526, 0.0020500000937317964, 2.941592653589793]	[2.7298574121360306, 0.24729859101536622, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
8	[2.499093115062963, 0.25824617993769117, 0.0020500000937317964, 3.141592653589793]	[2.735105898312905, 0.5165056737469526, 0.0020500000937317964, 2.941592653589793]	Right	0.02
9	[2.439093115062963, 0.4582461799376912, 0.0020500000937317964, 3.3415926535897933]	[2.499093115062963, 0.25824617993769117, 0.0020500000937317964, 3.141592653589793]	Left	0.02
10	[2.3222819302900577, 0.1284657270422077, 0.0020500000937317964, 3.141592653589793]	[2.439093115062963, 0.4582461799376912, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
11	[2.1422819302900575, 0.3784657270422077, 0.0020500000937317964, 3.3415926535897933]	[2.3222819302900577, 0.1284657270422077, 0.0020500000937317964, 3.141592653589793]	Left	0.02
12	[2.054739942091049, 0.10563537627058872, 0.0020500000937317964, 3.3415926535897933]	[2.1422819302900575, 0.3784657270422077, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
13	[1.8777967550342627, 0.2738349855275285, 0.0020500000937317964, 3.5415926535897935]	[2.054739942091049, 0.10563537627058872, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
14	[1.8267318843355889, 0.03510421880374037, 0.0020500000937317964, 3.3415926535897933]	[1.8777967550342627, 0.2738349855275285, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
15	[1.7869980181765766, 0.2311175343719887, 0.0020500000937317964, 3.3415926535897933]	[1.8267318843355889, 0.03510421880374037, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
16	[1.7778613562048673, -0.025819269936025374, 0.0020500000937317964, 3.5415926535897935]	[1.7869980181765766, 0.2311175343719887, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
17	[1.468662742007041, 0.11487975983370621, 0.10000000149011612, 3.3415926535897933]	[1.7778613562048673, -0.025819269936025374, 0.0020500000937317964, 3.5415926535897935]	Left	0.152
18	[1.292914761802321, -0.17583083070946828, 0.10000000149011612, 3.141592653589793]	[1.468662742007041, 0.11487975983370621, 0.10000000149011612, 3.3415926535897933]	Right	0.152
19	[1.2329147618023208, 0.07416916929053172, 0.10000000149011612, 3.141592653589793]	[1.292914761802321, -0.17583083070946828, 0.10000000149011612, 3.141592653589793]	Left	0.02
20	[1.0929147618023207, -0.22583083070946827, 0.10000000149011612, 3.141592653589793]	[1.2329147618023208, 0.07416916929053172, 0.10000000149011612, 3.141592653589793]	Right	0.02
21	[0.9529147618023207, 0.024169169290531728, 0.10000000149011612, 2.941592653589793]	[1.0929147618023207, -0.22583083070946827, 0.10000000149011612, 3.141592653589793]	Left	0.02
22	[0.7953073047796781, -0.24998387098233457, 0.10000000149011612, 2.7415926535897928]	[0.9529147618023207, 0.024169169290531728, 0.10000000149011612, 2.941592653589793]	Right	0.02
23	[0.7831842683118695, 0.08085299514174202, 0.10000000149011612, 2.5415926535897926]	[0.7953073047796781, -0.24998387098233457, 0.10000000149011612, 2.7415926535897928]	Left	0.02
24	[0.4239643348641328, -0.036879920450303055, 0.20000000298023224, 2.5415926535897926]	[0.7831842683118695, 0.08085299514174202, 0.10000000149011612, 2.5415926535897926]	Right	0.152
25	[0.3470656381139141, 0.2580549714124908, 0.20000000298023224, 2.5415926535897926]	[0.4239643348641328, -0.036879920450303055, 0.20000000298023224, 2.5415926535897926]	Left	0.152
26	[0.029112485411661337, 0.1120899321506939, 0.20000000298023224, 2.3415926535897924]	[0.3470656381139141, 0.2580549714124908, 0.20000000298023224, 2.5415926535897926]	Right	0.02
27	[0.17464864174680184, 0.3928375540447957, 0.20000000298023224, 2.5415926535897926]	[0.029112485411661337, 0.1120899321506939, 0.20000000298023224, 2.3415926535897924]	Left	0.02
28	[-0.18457129170093484, 0.2751046384527506, 0.20000000298023224, 2.3415926535897924]	[0.17464864174680184, 0.3928375540447957, 0.20000000298023224, 2.5415926535897926]	Right	0.02
29	[-0.10277120828465709, 0.5497111685154752, 0.20000000298023224, 2.5415926535897926]	[-0.18457129170093484, 0.2751046384527506, 0.20000000298023224, 2.3415926535897924]	Left	0.02
30	[-0.2226438134085872, 0.2682319356388697, 0.20000000298023224, 2.5415926535897926]	[-0.10277120828465709, 0.5497111685154752, 0.20000000298023224, 2.5415926535897926]	Right	0.02
31	[-0.0814831950598282, 0.47456583936628915, 0.20000000298023224, 2.7415926535897928]	[-0.2226438134085872, 0.2682319356388697, 0.20000000298023224, 2.5415926535897926]	Left	0.02
32	[-0.15936686352155838, 0.29035364056571217, 0.20000000298023224, 2.7415926535897928]	[-0.0814831950598282, 0.47456583936628915, 0.20000000298023224, 2.7415926535897928]	Right	0.02
33	[-0.15411837734468414, 0.5595607232972986, 0.20000000298023224, 2.941592653589793]	[-0.15936686352155838, 0.29035364056571217, 0.20000000298023224, 2.7415926535897928]	Left	0.02
34	[-0.1549151819127281, 0.25362059009722243, 0.20000000298023224, 3.141592653589793]	[-0.15411837734468414, 0.5595607232972986, 0.20000000298023224, 2.941592653589793]	Right	0.02
35	[-0.15491518191272807, 0.5036205900972224, 0.20000000298023224, 3.3415926535897933]	[-0.1549151819127281, 0.25362059009722243, 0.20000000298023224, 3.141592653589793]	Left	0.02
36	[-0.20325450699808692, 0.23873701255740587, 0.20000000298023224, 3.3415926535897933]	[-0.15491518191272807, 0.5036205900972224, 0.20000000298023224, 3.3415926535897933]	Right	0.02
37	[-0.24298837315709917, 0.4347503281256542, 0.20000000298023224, 3.141592653589793]	[-0.20325450699808692, 0.23873701255740587, 0.20000000298023224, 3.3415926535897933]	Left	0.02
38	[-0.1829883731570992, 0.13475032812565418, 0.20000000298023224, 3.3415926535897933]	[-0.24298837315709917, 0.4347503281256542, 0.20000000298023224, 3.141592653589793]	Right	0.02
39	[-0.17385171118539003, 0.39168713243366826, 0.20000000298023224, 3.5415926535897935]	[-0.1829883731570992, 0.13475032812565418, 0.20000000298023224, 3.3415926535897933]	Left	0.02
40	[-0.24228810452874666, 0.09132658231738988, 0.20000000298023224, 3.3415926535897933]	[-0.17385171118539003, 0.39168713243366826, 0.20000000298023224, 3.5415926535897935]	Right	0.02
41	[-0.22321797601728444, 0.29926005773334186, 0.20000000298023224, 3.5415926535897935]	[-0.24228810452874666, 0.09132658231738988, 0.20000000298023224, 3.3415926535897933]	Left	0.02
42	[-0.16165613296486234, -0.0004233410060426879, 0.20000000298023224, 3.7415926535897936]	[-0.22321797601728444, 0.29926005773334186, 0.20000000298023224, 3.5415926535897935]	Right	0.02
43	[-0.2745846276438695, 0.16464378197589294, 0.20000000298023224, 3.7415926535897936]	[-0.16165613296486234, -0.0004233410060426879, 0.20000000298023224, 3.7415926535897936]	Left	0.02
44	[-0.22073887171271372, -0.1620068487723155, 0.20000000298023224, 3.941592653589794]	[-0.2745846276438695, 0.16464378197589294, 0.20000000298023224, 3.7415926535897936]	Right	0.02
45	[-0.5961882421324187, -0.11798673687505631, 0.10000000149011612, 3.941592653589794]	[-0.22073887171271372, -0.1620068487723155, 0.20000000298023224, 3.941592653589794]	Left	0.064
46	[-0.6129595671023621, -0.4223199796513797, 0.10000000149011612, 3.7415926535897936]	[-0.5961882421324187, -0.11798673687505631, 0.10000000149011612, 3.941592653589794]	Right	0.064
47	[-0.8414350478687243, -0.33630280294474907, 0.10000000149011612, 3.941592653589794]	[-0.6129595671023621, -0.4223199796513797, 0.10000000149011612, 3.7415926535897936]	Left	0.02
48	[-0.7038984277046734, -0.5535208457355117, 0.10000000149011612, 3.7415926535897936]	[-0.8414350478687243, -0.33630280294474907, 0.10000000149011612, 3.941592653589794]	Right	0.02
49	[-0.9323739084710354, -0.46750366902888113, 0.10000000149011612, 3.941592653589794]	[-0.7038984277046734, -0.5535208457355117, 0.10000000149011612, 3.7415926535897936]	Left	0.02
50	[-0.9143098979736205, -0.7359691072602284, 0.10000000149011612, 3.7415926535897936]	[-0.9323739084710354, -0.46750366902888113, 0.10000000149011612, 3.941592653589794]	Right	0.02
51	[-1.1380040778133473, -0.5860994508723124, 0.10000000149011612, 3.5415926535897935]	[-0.9143098979736205, -0.7359691072602284, 0.10000000149011612, 3.7415926535897936]	Left	0.02
52	[-1.2259113882721364, -0.8404069512884466, 0.10000000149011612, 3.3415926535897933]	[-1.1380040778133473, -0.5860994508723124, 0.10000000149011612, 3.5415926535897935]	Right	0.02
53	[-1.2167747263004272, -0.5834701469804324, 0.10000000149011612, 3.141592653589793]	[-1.2259113882721364, -0.8404069512884466, 0.10000000149011612, 3.3415926535897933]	Left	0.02
54	[-1.2167747263004272, -0.8334701469804324, 0.10000000149011612, 2.941592653589793]	[-1.2167747263004272, -0.5834701469804324, 0.10000000149011612, 3.141592653589793]	Right	0.02
55	[-1.2259113882721362, -0.5765333426724184, 0.10000000149011612, 2.7415926535897928]	[-1.2167747263004272, -0.8334701469804324, 0.10000000149011612, 2.941592653589793]	Left	0.02
56	[-1.2874732313245585, -0.876216741411803, 0.10000000149011612, 2.5415926535897926]	[-1.2259113882721362, -0.5765333426724184, 0.10000000149011612, 2.7415926535897928]	Right	0.02
57	[-1.2900917227329063, -0.6320996721545623, 0.10000000149011612, 2.3415926535897924]	[-1.2874732313245585, -0.876216741411803, 0.10000000149011612, 2.5415926535897926]	Left	0.02
58	[-1.593805484062659, -0.6064491131171049, 0.0020500000937317964, 2.5415926535897926]	[-1.2900917227329063, -0.6320996721545623, 0.10000000149011612, 2.3415926535897924]	Right	0.064
59	[-1.642472057143126, -0.2702474405088272, 0.0020500000937317964, 2.7415926535897928]	[-1.593805484062659, -0.6064491131171049, 0.0020500000937317964, 2.5415926535897926]	Left	0.064
60	[-1.9711415884563848, -0.4569995199787029, 0.0020500000937317964, 2.7415926535897928]	[-1.642472057143126, -0.2702474405088272, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
61	[-2.0222064591550586, -0.2182687532549148, 0.0020500000937317964, 2.941592653589793]	[-1.9711415884563848, -0.4569995199787029, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
62	[-2.0031363306435965, -0.4262022286708668, 0.0020500000937317964, 2.941592653589793]	[-2.0222064591550586, -0.2182687532549148, 0.0020500000937317964, 2.941592653589793]	Right	0.02
63	[-2.100611785382358, -0.20237520679130988, 0.0020500000937317964, 3.141592653589793]	[-2.0031363306435965, -0.4262022286708668, 0.0020500000937317964, 2.941592653589793]	Left	0.02
64	[-2.330611785382358, -0.5023752067913099, 0.0020500000937317964, 2.941592653589793]	[-2.100611785382358, -0.20237520679130988, 0.0020500000937317964, 3.141592653589793]	Right	0.02
65	[-2.4181537735813663, -0.22954485601969082, 0.0020500000937317964, 2.941592653589793]	[-2.330611785382358, -0.5023752067913099, 0.0020500000937317964, 2.941592653589793]	Left	0.02
66	[-2.6149638937176585, -0.49575112306075464, 0.0020500000937317964, 2.7415926535897928]	[-2.4181537735813663, -0.22954485601969082, 0.0020500000937317964, 2.941592653589793]	Right	0.02
67	[-2.6465578473008997, -0.21096730663682228, 0.0020500000937317964, 2.7415926535897928]	[-2.6149638937176585, -0.49575112306075464, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
68	[-2.8533900549230338, -0.34066093751418813, 0.0020500000937317964, 2.941592653589793]	[-2.6465578473008997, -0.21096730663682228, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
69	[-2.9017293800083928, -0.07577735997437157, 0.0020500000937317964, 2.7415926535897928]	[-2.8533900549230338, -0.34066093751418813, 0.0020500000937317964, 2.941592653589793]	Left	0.02
70	[-3.018554882700988, -0.352095658175237, 0.0020500000937317964, 2.7415926535897928]	[-2.9017293800083928, -0.07577735997437157, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
71	[-3.067520358928912, -0.0056820583588144125, 0.0020500000937317964, 2.5415926535897926]	[-3.018554882700988, -0.352095658175237, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
72	[-3.3194466624383905, -0.19681849549221417, 0.0020500000937317964, 2.7415926535897928]	[-3.067520358928912, -0.0056820583588144125, 0.0020500000937317964, 2.5415926535897926]	Right	0.02
